home_team,away_team,home_odds,draw_odds,away_odds,winning_outcome,winning_odd
Sheffield Utd,Chelsea,6.51,5.13,1.43,Draw,5.13
Manchester Utd,Liverpool,4.9,4.71,1.59,Draw,4.71
Brighton,Arsenal,6.23,4.53,1.5,Away,1.5
Aston Villa,Brentford,1.64,4.12,5.32,Draw,4.12
Everton,Burnley,1.76,3.85,4.67,Home,1.76
Fulham,Newcastle,2.44,3.64,2.79,Away,2.79
Luton,Bournemouth,3.78,3.9,1.92,Home,3.78
Wolves,West Ham,2.81,3.45,2.49,Away,2.49
Crystal Palace,Manchester City,9.06,5.15,1.34,Away,1.34
Chelsea,Manchester Utd,1.82,4.25,3.9,Home,1.82
Liverpool,Sheffield Utd,1.07,15.2,27.0,Home,1.07
Manchester City,Aston Villa,1.22,6.9,12.2,Home,1.22
Arsenal,Luton,1.13,9.69,18.3,Home,1.13
Brentford,Brighton,2.49,3.7,2.71,Draw,3.7
West Ham,Tottenham,3.38,4.13,1.99,Draw,4.13
Bournemouth,Crystal Palace,1.88,3.78,4.01,Home,1.88
Burnley,Wolves,2.33,3.52,3.0,Draw,3.52
Newcastle,Everton,2.0,3.72,3.6,Draw,3.72
Nottingham,Fulham,2.71,3.44,2.62,Home,2.71
Manchester City,Arsenal,2.06,3.61,3.59,Draw,3.61
Liverpool,Brighton,1.3,6.26,8.71,Home,1.3
Brentford,Manchester Utd,3.31,3.95,2.06,Draw,3.95
Aston Villa,Wolves,1.52,4.41,6.22,Home,1.52
Bournemouth,Everton,2.18,3.68,3.21,Home,2.18
Chelsea,Burnley,1.27,6.46,10.27,Draw,6.46
Nottingham,Crystal Palace,2.24,3.33,3.37,Draw,3.33
Sheffield Utd,Fulham,4.72,4.05,1.71,Draw,4.05
Tottenham,Luton,1.2,7.95,11.27,Home,1.2
Newcastle,West Ham,1.86,4.13,3.86,Home,1.86
West Ham,Aston Villa,2.46,3.67,2.77,Draw,3.67
Fulham,Tottenham,3.33,3.92,2.02,Home,3.33
Burnley,Brentford,3.11,3.65,2.25,Home,3.11
Luton,Nottingham,2.64,3.52,2.63,Draw,3.52
Bournemouth,Luton,1.52,4.86,5.58,Home,1.52
Chelsea,Newcastle,1.84,4.12,3.8,Home,1.84
Liverpool,Manchester City,3.44,3.85,2.04,Draw,3.85
Brighton,Nottingham,1.63,4.3,5.09,Home,1.63
West Ham,Burnley,1.66,4.04,5.22,Draw,4.04
Aston Villa,Tottenham,2.49,3.88,2.63,Away,2.63
Arsenal,Brentford,1.22,7.0,12.63,Home,1.22
Bournemouth,Sheffield Utd,1.35,5.54,7.99,Draw,5.54
Crystal Palace,Luton,1.88,3.77,4.13,Draw,3.77
Wolves,Fulham,2.52,3.42,2.85,Home,2.52
Manchester Utd,Everton,1.91,3.76,4.01,Home,1.91
Sheffield Utd,Arsenal,16.0,7.43,1.18,Away,1.18
Manchester City,Manchester Utd,1.25,6.72,10.05,Home,1.25
Burnley,Bournemouth,3.62,3.66,2.0,Away,2.0
Luton,Aston Villa,4.38,4.41,1.7,Away,1.7
Brentford,Chelsea,3.23,3.72,2.16,Draw,3.72
Everton,West Ham,2.12,3.54,3.45,Away,3.45
Fulham,Brighton,2.54,3.45,2.77,Home,2.54
Newcastle,Wolves,1.74,4.15,4.41,Home,1.74
Nottingham,Liverpool,5.17,4.41,1.61,Away,1.61
Tottenham,Crystal Palace,1.53,4.51,5.79,Home,1.53
West Ham,Brentford,2.34,3.54,3.0,Home,2.34
Wolves,Sheffield Utd,1.48,4.5,6.88,Home,1.48
Arsenal,Newcastle,1.36,5.57,8.0,Home,1.36
Bournemouth,Manchester City,6.57,4.8,1.45,Away,1.45
Aston Villa,Nottingham,1.58,4.45,5.3,Home,1.58
Brighton,Everton,1.86,3.85,3.98,Draw,3.85
Crystal Palace,Burnley,2.0,3.38,4.0,Home,2.0
Manchester Utd,Fulham,1.65,4.22,5.0,Away,5.0
Liverpool,Luton,1.26,6.51,9.65,Home,1.26
Manchester City,Brentford,1.19,7.58,14.0,Home,1.19
Everton,Crystal Palace,1.8,3.46,4.92,Draw,3.46
Luton,Manchester Utd,4.11,4.09,1.79,Away,1.79
Sheffield Utd,Brighton,4.78,4.22,1.67,Away,1.67
Manchester City,Chelsea,1.33,5.96,8.13,Draw,5.96
Burnley,Arsenal,10.26,5.84,1.29,Away,1.29
Fulham,Aston Villa,2.94,3.7,2.33,Away,2.33
Newcastle,Bournemouth,1.97,3.92,3.47,Draw,3.92
Nottingham,West Ham,2.25,3.52,3.18,Home,2.25
Tottenham,Wolves,1.52,4.84,5.46,Away,5.46
Brentford,Liverpool,4.8,4.34,1.65,Away,1.65
Crystal Palace,Chelsea,4.88,3.91,1.72,Away,1.72
Aston Villa,Manchester Utd,2.17,3.86,3.11,Away,3.11
West Ham,Arsenal,6.23,4.3,1.52,Away,1.52
Nottingham,Newcastle,3.21,3.75,2.14,Away,2.14
Fulham,Bournemouth,2.52,3.52,2.71,Home,2.52
Liverpool,Burnley,1.16,8.35,15.68,Home,1.16
Luton,Sheffield Utd,1.71,3.95,4.76,Away,4.76
Tottenham,Brighton,1.74,4.46,4.08,Home,1.74
Wolves,Brentford,2.2,3.54,3.23,Away,3.23
Manchester City,Everton,1.23,6.69,12.05,Home,1.23
Brentford,Manchester City,7.64,5.25,1.37,Away,1.37
Arsenal,Liverpool,2.19,3.65,3.18,Home,2.19
Bournemouth,Nottingham,1.65,4.3,4.9,Draw,4.3
Chelsea,Wolves,1.53,4.42,5.83,Away,5.83
Manchester Utd,West Ham,1.55,4.43,5.66,Home,1.55
Sheffield Utd,Aston Villa,5.09,4.28,1.63,Away,1.63
Brighton,Crystal Palace,1.71,3.77,5.16,Home,1.71
Burnley,Fulham,2.89,3.29,2.5,Draw,3.29
Newcastle,Luton,1.51,4.67,5.86,Draw,4.67
Everton,Tottenham,3.06,3.73,2.21,Draw,3.73
Wolves,Manchester Utd,2.9,3.49,2.41,Away,2.41
West Ham,Bournemouth,2.43,3.56,2.83,Draw,3.56
Liverpool,Chelsea,1.66,4.34,4.79,Home,1.66
Manchester City,Burnley,1.11,10.34,21.0,Home,1.11
Tottenham,Brentford,1.61,4.4,5.05,Home,1.61
Aston Villa,Newcastle,1.86,3.99,3.88,Away,3.88
Crystal Palace,Sheffield Utd,1.61,3.87,5.94,Home,1.61
Fulham,Everton,2.24,3.25,3.47,Draw,3.25
Luton,Brighton,4.17,3.96,1.81,Home,4.17
Nottingham,Arsenal,8.74,5.05,1.38,Away,1.38
Brighton,Wolves,1.65,4.23,5.01,Draw,4.23
Bournemouth,Liverpool,4.34,4.33,1.71,Away,1.71
Sheffield Utd,West Ham,2.97,3.34,2.5,Draw,3.34
Brentford,Nottingham,1.8,3.79,4.48,Home,1.8
Arsenal,Crystal Palace,1.28,5.74,11.39,Home,1.28
Manchester Utd,Tottenham,2.02,3.94,3.38,Draw,3.94
Everton,Aston Villa,2.56,3.52,2.73,Draw,3.52
Newcastle,Manchester City,4.88,4.09,1.68,Away,1.68
Chelsea,Fulham,1.64,4.11,5.29,Home,1.64
Burnley,Luton,2.16,3.43,3.48,Draw,3.43
West Ham,Brighton,3.09,3.59,2.25,Draw,3.59
Liverpool,Newcastle,1.37,5.53,7.5,Home,1.37
Fulham,Arsenal,5.74,4.22,1.57,Home,5.74
Tottenham,Bournemouth,1.76,4.48,3.92,Home,1.76
Nottingham,Manchester Utd,3.2,3.63,2.18,Home,3.2
Aston Villa,Burnley,1.38,5.17,7.57,Home,1.38
Crystal Palace,Brentford,2.1,3.25,3.79,Home,2.1
Manchester City,Sheffield Utd,1.07,13.05,30.8,Home,1.07
Wolves,Everton,2.9,3.22,2.58,Home,2.9
Luton,Chelsea,5.4,4.44,1.56,Away,1.56
Arsenal,West Ham,1.29,5.94,10.32,Away,10.32
Brighton,Tottenham,2.48,3.83,2.66,Home,2.48
Everton,Manchester City,5.4,3.95,1.64,Away,1.64
Brentford,Wolves,2.21,3.38,3.4,Away,3.4
Chelsea,Crystal Palace,1.77,3.68,4.74,Home,1.77
Manchester Utd,Aston Villa,2.29,3.72,2.94,Home,2.29
Burnley,Liverpool,7.54,5.41,1.38,Away,1.38
Bournemouth,Fulham,1.94,3.84,3.77,Home,1.94
Sheffield Utd,Luton,2.44,3.25,3.08,Away,3.08
Newcastle,Nottingham,1.4,4.96,7.66,Away,7.66
Wolves,Chelsea,3.29,3.67,2.14,Home,3.29
Liverpool,Arsenal,2.43,3.62,2.75,Draw,3.62
Fulham,Burnley,1.68,3.89,5.0,Away,5.0
Luton,Newcastle,5.12,4.17,1.64,Home,5.12
Nottingham,Bournemouth,2.83,3.44,2.48,Away,2.48
Tottenham,Everton,1.72,4.25,4.38,Home,1.72
West Ham,Manchester Utd,2.21,3.76,3.13,Home,2.21
Aston Villa,Sheffield Utd,1.21,7.04,12.5,Draw,7.04
Crystal Palace,Brighton,3.33,3.37,2.24,Draw,3.37
Liverpool,Manchester Utd,1.35,5.78,7.8,Draw,5.78
Arsenal,Brighton,1.48,4.74,6.46,Home,1.48
Brentford,Aston Villa,3.18,3.49,2.27,Away,2.27
West Ham,Wolves,2.0,3.58,3.91,Home,2.0
Burnley,Everton,3.31,3.49,2.22,Away,2.22
Chelsea,Sheffield Utd,1.19,7.52,13.73,Home,1.19
Manchester City,Crystal Palace,1.18,7.34,17.48,Draw,7.34
Newcastle,Fulham,1.9,3.78,4.09,Home,1.9
Nottingham,Tottenham,4.87,4.16,1.69,Away,1.69
Tottenham,Newcastle,2.04,3.85,3.33,Home,2.04
Everton,Chelsea,2.47,3.43,2.81,Home,2.47
Fulham,West Ham,2.21,3.52,3.24,Home,2.21
Luton,Manchester City,15.0,7.4,1.19,Away,1.19
Aston Villa,Arsenal,3.61,3.77,2.0,Home,3.61
Brighton,Burnley,1.54,4.44,6.01,Draw,4.44
Manchester Utd,Bournemouth,1.66,4.4,4.63,Away,4.63
Sheffield Utd,Brentford,4.59,3.86,1.76,Home,4.59
Wolves,Nottingham,1.93,3.34,4.45,Draw,3.34
Crystal Palace,Liverpool,6.46,4.57,1.5,Away,1.5
Tottenham,West Ham,1.7,4.26,4.63,Away,4.63
Everton,Newcastle,3.1,3.44,2.34,Home,3.1
Aston Villa,Manchester City,5.0,4.22,1.66,Home,5.0
Manchester Utd,Chelsea,2.75,3.58,2.5,Home,2.75
Brighton,Brentford,1.77,4.05,4.38,Home,1.77
Crystal Palace,Bournemouth,2.27,3.42,3.27,Away,3.27
Fulham,Nottingham,2.04,3.42,3.81,Home,2.04
Sheffield Utd,Liverpool,13.7,7.7,1.2,Away,1.2
Luton,Arsenal,15.4,6.9,1.21,Away,1.21
Wolves,Burnley,1.92,3.64,4.12,Home,1.92
Manchester City,Tottenham,1.25,6.84,10.4,Draw,6.84
Bournemouth,Aston Villa,3.17,3.92,2.12,Draw,3.92
Chelsea,Brighton,1.63,4.37,5.09,Home,1.63
Liverpool,Fulham,1.24,6.81,10.92,Home,1.24
West Ham,Crystal Palace,1.96,3.52,4.04,Draw,3.52
Newcastle,Manchester Utd,2.0,3.72,3.66,Home,2.0
Nottingham,Everton,2.85,3.16,2.69,Away,2.69
Arsenal,Wolves,1.24,6.25,12.8,Home,1.24
Brentford,Luton,1.53,4.34,6.16,Home,1.53
Burnley,Sheffield Utd,1.74,3.71,5.15,Home,1.74
Fulham,Wolves,2.43,3.27,3.1,Home,2.43
Everton,Manchester Utd,2.68,3.4,2.69,Away,2.69
Tottenham,Aston Villa,2.62,3.73,2.56,Away,2.56
Brentford,Arsenal,5.83,4.01,1.6,Away,1.6
Burnley,West Ham,3.44,3.42,2.21,Away,2.21
Luton,Crystal Palace,4.08,3.35,2.02,Home,4.08
Newcastle,Chelsea,2.68,3.54,2.62,Home,2.68
Nottingham,Brighton,3.67,3.62,2.04,Away,2.04
Sheffield Utd,Bournemouth,3.49,3.5,2.17,Away,2.17
Manchester City,Liverpool,1.71,4.3,4.5,Draw,4.3
Chelsea,Manchester City,4.72,3.86,1.76,Draw,3.86
Aston Villa,Fulham,1.64,4.09,5.3,Home,1.64
Brighton,Sheffield Utd,1.27,6.01,10.74,Draw,6.01
Liverpool,Brentford,1.38,5.32,7.52,Home,1.38
West Ham,Nottingham,1.81,3.76,4.55,Home,1.81
Bournemouth,Newcastle,3.96,3.67,1.94,Home,3.96
Arsenal,Burnley,1.2,6.82,15.56,Home,1.2
Crystal Palace,Everton,2.63,3.08,2.94,Away,2.94
Manchester Utd,Luton,1.29,5.95,9.99,Home,1.29
Wolves,Tottenham,3.14,3.52,2.31,Home,3.14
Tottenham,Chelsea,2.33,3.62,2.99,Away,2.99
Luton,Liverpool,13.4,7.9,1.19,Draw,7.9
Nottingham,Aston Villa,3.88,3.75,1.94,Home,3.88
Newcastle,Arsenal,2.81,3.19,2.68,Home,2.81
Brentford,West Ham,2.16,3.62,3.31,Home,2.16
Burnley,Crystal Palace,3.38,3.2,2.33,Away,2.33
Everton,Brighton,2.81,3.5,2.48,Draw,3.5
Manchester City,Bournemouth,1.09,11.0,25.4,Home,1.09
Sheffield Utd,Wolves,4.19,3.65,1.89,Home,4.19
Fulham,Manchester Utd,3.02,3.52,2.33,Away,2.33
Manchester Utd,Manchester City,5.46,4.16,1.62,Away,1.62
Aston Villa,Luton,1.33,5.73,8.86,Home,1.33
Brighton,Fulham,1.6,4.33,5.34,Draw,4.33
Liverpool,Nottingham,1.23,6.75,11.4,Home,1.23
West Ham,Everton,2.08,3.65,3.47,Away,3.47
Wolves,Newcastle,4.03,3.84,1.87,Draw,3.84
Arsenal,Sheffield Utd,1.12,9.41,20.59,Home,1.12
Bournemouth,Burnley,2.16,3.57,3.33,Home,2.16
Chelsea,Brentford,1.65,4.01,5.26,Away,5.26
Crystal Palace,Tottenham,4.51,3.79,1.77,Away,1.77
Tottenham,Fulham,1.5,4.63,6.09,Home,1.5
Aston Villa,West Ham,1.79,3.89,4.42,Home,1.79
Sheffield Utd,Manchester Utd,7.81,5.59,1.37,Away,1.37
Chelsea,Arsenal,3.29,3.33,2.31,Draw,3.33
Bournemouth,Wolves,2.31,3.42,3.16,Away,3.16
Brentford,Burnley,1.74,3.8,4.94,Home,1.74
Manchester City,Brighton,1.36,5.7,7.62,Home,1.36
Newcastle,Crystal Palace,1.46,4.43,7.6,Home,1.46
Nottingham,Luton,1.74,3.65,5.2,Draw,3.65
Liverpool,Everton,1.4,5.26,7.26,Home,1.4
Arsenal,Manchester City,2.93,3.35,2.5,Home,2.93
Brighton,Liverpool,3.18,4.15,2.08,Draw,4.15
West Ham,Newcastle,3.37,3.68,2.12,Draw,3.68
Wolves,Aston Villa,3.56,3.58,2.08,Draw,3.58
Crystal Palace,Nottingham,2.27,3.19,3.52,Draw,3.19
Burnley,Chelsea,5.09,3.98,1.69,Away,1.69
Everton,Bournemouth,1.92,3.73,3.97,Home,1.92
Fulham,Sheffield Utd,1.53,4.28,6.59,Home,1.53
Manchester Utd,Brentford,1.65,4.2,5.09,Home,1.65
Luton,Tottenham,6.93,4.92,1.43,Away,1.43
Luton,Burnley,2.91,3.17,2.62,Away,2.62
Fulham,Chelsea,3.45,3.44,2.19,Away,2.19
Nottingham,Brentford,2.65,3.19,2.87,Draw,3.19
Tottenham,Liverpool,2.94,3.88,2.27,Home,2.94
Bournemouth,Arsenal,5.82,4.51,1.54,Away,1.54
Everton,Luton,1.66,3.85,5.55,Away,5.55
Manchester Utd,Crystal Palace,1.57,4.3,6.03,Away,6.03
Newcastle,Burnley,1.38,5.12,8.23,Home,1.38
West Ham,Sheffield Utd,1.45,4.72,7.1,Home,1.45
Wolves,Manchester City,8.24,5.08,1.39,Home,8.24
Aston Villa,Brighton,2.48,3.69,2.72,Home,2.48
Sheffield Utd,Newcastle,6.12,4.33,1.55,Away,1.55
Arsenal,Tottenham,1.64,4.36,4.94,Draw,4.36
Brighton,Bournemouth,1.5,4.88,5.92,Home,1.5
Chelsea,Aston Villa,1.87,3.84,4.07,Away,4.07
Liverpool,West Ham,1.37,5.5,7.64,Home,1.37
Burnley,Manchester Utd,4.13,3.91,1.84,Away,1.84
Brentford,Everton,1.94,3.54,4.23,Away,4.23
Crystal Palace,Fulham,2.08,3.31,3.86,Draw,3.31
Luton,Wolves,3.21,3.31,2.37,Draw,3.31
Manchester City,Nottingham,1.16,8.05,17.8,Home,1.16
Nottingham,Burnley,2.1,3.46,3.6,Draw,3.46
Everton,Arsenal,5.7,4.34,1.56,Away,1.56
Bournemouth,Chelsea,4.16,3.85,1.85,Draw,3.85
Newcastle,Brentford,1.63,4.09,5.37,Home,1.63
Aston Villa,Crystal Palace,1.96,3.65,3.99,Home,1.96
Fulham,Luton,1.67,3.76,5.67,Home,1.67
Manchester Utd,Brighton,2.02,3.97,3.39,Away,3.39
Tottenham,Sheffield Utd,1.29,6.07,9.74,Home,1.29
West Ham,Manchester City,5.65,4.21,1.61,Away,1.61
Wolves,Liverpool,4.55,4.38,1.69,Away,1.69
Arsenal,Manchester Utd,1.76,4.16,4.32,Home,1.76
Crystal Palace,Wolves,1.94,3.5,4.22,Home,1.94
Liverpool,Aston Villa,1.61,4.59,4.97,Home,1.61
Brighton,Newcastle,2.54,3.8,2.61,Home,2.54
Brentford,Bournemouth,1.71,4.07,4.79,Draw,4.07
Burnley,Tottenham,3.59,3.8,2.0,Away,2.0
Chelsea,Nottingham,1.41,4.79,7.98,Away,7.98
Manchester City,Fulham,1.17,7.85,16.0,Home,1.17
Sheffield Utd,Everton,3.14,3.39,2.36,Draw,3.39
Luton,West Ham,4.47,3.99,1.78,Away,1.78
Newcastle,Liverpool,2.2,3.83,3.06,Away,3.06
Burnley,Aston Villa,3.24,3.52,2.22,Away,2.22
Sheffield Utd,Manchester City,14.63,7.07,1.19,Away,1.19
Brighton,West Ham,1.5,4.71,5.92,Away,5.92
Arsenal,Fulham,1.28,5.93,11.02,Draw,5.93
Brentford,Crystal Palace,2.14,3.36,3.67,Draw,3.36
Everton,Wolves,2.42,3.34,3.02,Away,3.02
Manchester Utd,Nottingham,1.36,5.18,8.42,Home,1.36
Bournemouth,Tottenham,3.47,3.83,2.02,Away,2.02
Chelsea,Luton,1.26,6.08,12.0,Home,1.26
Crystal Palace,Arsenal,4.34,3.5,1.91,Away,1.91
West Ham,Chelsea,3.23,3.64,2.2,Home,3.23
Aston Villa,Everton,1.83,3.84,4.23,Home,1.83
Manchester City,Newcastle,1.85,3.77,4.32,Home,1.85
Tottenham,Manchester Utd,3.0,3.81,2.25,Home,3.0
Fulham,Brentford,2.81,3.19,2.7,Away,2.7
Liverpool,Bournemouth,1.2,7.68,12.33,Home,1.2
Wolves,Brighton,4.13,4.09,1.81,Away,1.81
Nottingham,Sheffield Utd,1.93,3.46,4.32,Home,1.93
Manchester Utd,Wolves,1.27,6.07,11.25,Home,1.27
Chelsea,Liverpool,3.06,3.77,2.23,Draw,3.77
Brentford,Tottenham,2.58,3.52,2.72,Draw,3.52
Newcastle,Aston Villa,1.65,4.13,5.13,Home,1.65
Bournemouth,West Ham,2.69,3.52,2.61,Draw,3.52
Brighton,Luton,1.27,6.12,10.94,Home,1.27
Everton,Fulham,2.34,3.25,3.25,Away,3.25
Sheffield Utd,Crystal Palace,3.76,3.17,2.18,Away,2.18
Arsenal,Nottingham,1.19,7.4,16.07,Home,1.19
Burnley,Manchester City,9.27,5.61,1.32,Away,1.32
Arsenal,Wolves,1.29,6.14,9.58,Home,1.29
Aston Villa,Brighton,1.87,4.04,3.85,Home,1.87
Brentford,Manchester City,3.31,3.58,2.19,Home,3.31
Chelsea,Newcastle,2.72,3.74,2.42,Draw,3.74
Crystal Palace,Nottingham,1.62,4.08,5.62,Draw,4.08
Everton,Bournemouth,1.62,4.19,5.25,Home,1.62
Leeds,Tottenham,2.77,3.88,2.37,Away,2.37
Leicester,West Ham,2.04,3.97,3.29,Home,2.04
Manchester Utd,Fulham,1.47,4.99,5.97,Home,1.47
Southampton,Liverpool,5.79,4.91,1.49,Draw,4.91
Manchester Utd,Chelsea,1.55,4.45,5.97,Home,1.55
Brighton,Manchester City,3.83,4.09,1.86,Draw,4.09
Newcastle,Leicester,1.31,5.86,9.22,Draw,5.86
Manchester City,Chelsea,1.6,4.12,5.75,Home,1.6
Brighton,Southampton,1.2,7.51,13.04,Home,1.2
West Ham,Leeds,2.65,3.49,2.65,Home,2.65
Nottingham,Arsenal,5.11,4.17,1.64,Home,5.11
Bournemouth,Manchester Utd,7.14,5.21,1.4,Away,1.4
Fulham,Crystal Palace,2.39,3.23,3.21,Draw,3.23
Liverpool,Aston Villa,1.49,4.84,6.05,Draw,4.84
Wolves,Everton,3.14,3.49,2.29,Draw,3.49
Tottenham,Brentford,1.97,3.77,3.71,Away,3.71
Newcastle,Brighton,1.8,4.08,4.13,Home,1.8
Leicester,Liverpool,4.55,4.25,1.7,Away,1.7
Arsenal,Brighton,1.73,4.3,4.28,Away,4.28
Brentford,West Ham,1.82,3.63,4.59,Home,1.82
Everton,Manchester City,8.15,5.21,1.37,Away,1.37
Aston Villa,Tottenham,2.25,3.66,3.06,Home,2.25
Chelsea,Nottingham,1.57,4.26,5.65,Draw,4.26
Crystal Palace,Bournemouth,1.78,3.71,4.68,Home,1.78
Manchester Utd,Wolves,1.38,5.15,7.84,Home,1.38
Southampton,Fulham,2.7,3.47,2.6,Away,2.6
Leeds,Newcastle,4.91,4.38,1.63,Draw,4.38
Nottingham,Southampton,2.0,3.52,3.86,Home,2.0
Brighton,Everton,1.35,5.54,8.32,Away,8.32
Fulham,Leicester,2.68,3.38,2.7,Home,2.68
West Ham,Manchester Utd,3.57,3.7,2.04,Home,3.57
Newcastle,Arsenal,2.29,3.73,2.96,Away,2.96
Liverpool,Brentford,1.42,5.19,6.69,Home,1.42
Bournemouth,Chelsea,3.52,3.6,2.08,Away,2.08
Manchester City,Leeds,1.16,8.5,16.1,Home,1.16
Tottenham,Crystal Palace,1.83,3.84,4.33,Home,1.83
Wolves,Aston Villa,3.12,3.33,2.38,Home,3.12
Brighton,Manchester Utd,2.17,3.79,3.16,Home,2.17
Liverpool,Fulham,1.31,5.9,8.96,Home,1.31
Manchester City,West Ham,1.18,7.82,15.06,Home,1.18
Arsenal,Chelsea,1.61,4.23,5.55,Home,1.61
Leicester,Everton,2.02,3.44,3.9,Draw,3.44
Liverpool,Tottenham,1.54,4.83,5.34,Home,1.54
Bournemouth,Leeds,2.47,3.41,2.92,Home,2.47
