home_team,away_team,home_odds,draw_odds,away_odds,winning_outcome,winning_odd
Tottenham,Bournemouth,2.79,3.76,2.39,Draw,3.76
Wolves,Everton,2.83,2.98,2.83,Draw,2.98
Brentford,Aston Villa,2.14,3.87,3.15,Away,3.15
Brighton,Fulham,2.0,3.52,3.85,Home,2.0
Crystal Palace,Ipswich,1.56,4.18,6.18,Home,1.56
Liverpool,Southampton,1.11,10.83,23.57,Home,1.11
Nottingham,Manchester City,3.8,3.78,1.94,Home,3.8
West Ham,Leicester,1.78,3.72,4.7,Home,1.78
Liverpool,Newcastle,1.37,5.46,7.53,Home,1.37
Brentford,Everton,2.02,3.61,3.62,Draw,3.61
Manchester Utd,Ipswich,1.51,4.5,6.36,Home,1.51
Nottingham,Arsenal,4.25,3.41,1.94,Draw,3.41
Tottenham,Manchester City,3.86,4.23,1.82,Away,1.82
Chelsea,Southampton,1.17,8.17,15.57,Home,1.17
Brighton,Bournemouth,1.97,3.85,3.61,Home,1.97
Crystal Palace,Aston Villa,2.24,3.5,3.2,Home,2.24
Wolves,Fulham,2.4,3.25,3.11,Away,3.11
Manchester City,Liverpool,3.13,3.8,2.2,Away,2.2
Newcastle,Nottingham,1.91,3.83,3.88,Home,1.91
Aston Villa,Chelsea,2.62,3.52,2.65,Home,2.62
Arsenal,West Ham,1.28,5.67,11.66,Away,11.66
Bournemouth,Wolves,1.65,4.13,5.15,Away,5.15
Fulham,Crystal Palace,2.08,3.43,3.68,Away,3.68
Ipswich,Tottenham,3.35,3.78,2.06,Away,2.06
Southampton,Brighton,5.63,4.46,1.55,Away,1.55
Everton,Manchester Utd,2.63,3.11,2.92,Draw,3.11
Leicester,Brentford,3.65,3.81,1.97,Away,1.97
Aston Villa,Liverpool,3.83,3.96,1.89,Draw,3.96
Tottenham,Manchester Utd,2.2,3.84,3.09,Home,2.2
Liverpool,Wolves,1.23,6.95,11.71,Home,1.23
Crystal Palace,Everton,1.99,3.18,4.48,Away,4.48
Aston Villa,Ipswich,1.43,4.93,7.09,Draw,4.93
Fulham,Nottingham,2.14,3.42,3.49,Home,2.14
Manchester City,Newcastle,2.06,4.01,3.23,Home,2.06
Southampton,Bournemouth,6.08,4.7,1.5,Away,1.5
West Ham,Brentford,2.38,3.65,2.88,Away,2.88
Leicester,Arsenal,9.89,5.38,1.32,Away,1.32
Brighton,Chelsea,2.91,3.67,2.34,Home,2.91
Everton,Liverpool,7.41,4.51,1.45,Draw,4.51
Chelsea,West Ham,1.3,6.23,9.06,Home,1.3
Arsenal,Manchester City,1.9,4.0,3.77,Home,1.9
Brentford,Tottenham,1.96,4.09,3.43,Away,3.43
Manchester Utd,Crystal Palace,1.78,3.64,4.73,Away,4.73
Wolves,Aston Villa,3.22,3.44,2.25,Home,3.22
Bournemouth,Liverpool,4.46,4.23,1.71,Away,1.71
Everton,Leicester,1.96,3.31,4.33,Home,1.96
Ipswich,Southampton,1.9,3.68,4.05,Away,4.05
Newcastle,Fulham,1.73,3.86,4.84,Away,4.84
Nottingham,Brighton,2.64,3.39,2.68,Home,2.64
Fulham,Manchester Utd,2.38,3.46,3.02,Away,3.02
Aston Villa,West Ham,1.46,4.79,6.47,Draw,4.79
Crystal Palace,Brentford,1.97,3.75,3.66,Away,3.66
Tottenham,Leicester,1.5,4.92,5.62,Away,5.62
Manchester City,Chelsea,2.38,3.78,2.79,Home,2.38
Bournemouth,Nottingham,1.95,3.69,3.84,Home,1.95
Brighton,Everton,1.72,3.67,5.3,Away,5.3
Liverpool,Ipswich,1.11,11.46,20.75,Home,1.11
Southampton,Newcastle,6.48,4.91,1.45,Away,1.45
Wolves,Arsenal,5.74,4.07,1.6,Away,1.6
Chelsea,Wolves,1.44,5.11,6.55,Home,1.44
Ipswich,Manchester City,7.78,5.19,1.37,Away,1.37
Everton,Tottenham,2.52,3.43,2.79,Home,2.52
Manchester Utd,Brighton,2.31,3.4,3.16,Away,3.16
Nottingham,Southampton,1.37,4.93,8.56,Home,1.37
Arsenal,Aston Villa,1.56,4.13,6.15,Draw,4.13
Brentford,Liverpool,6.13,4.98,1.48,Away,1.48
Leicester,Fulham,4.59,3.68,1.8,Away,1.8
West Ham,Crystal Palace,2.79,3.24,2.61,Away,2.61
Newcastle,Bournemouth,1.65,4.19,5.03,Away,5.03
Manchester Utd,Southampton,1.28,5.96,10.25,Home,1.28
Ipswich,Brighton,3.85,3.63,1.96,Away,1.96
Arsenal,Tottenham,1.38,5.26,7.76,Home,1.38
Everton,Aston Villa,3.46,3.1,2.29,Away,2.29
Leicester,Crystal Palace,3.97,3.57,1.95,Away,1.95
Newcastle,Wolves,1.36,5.16,7.9,Home,1.36
Nottingham,Liverpool,5.41,4.2,1.6,Draw,4.2
Brentford,Manchester City,5.11,4.34,1.6,Draw,4.34
Chelsea,Bournemouth,1.53,4.71,5.47,Draw,4.71
West Ham,Fulham,3.08,3.29,2.38,Home,3.08
Wolves,Nottingham,3.7,3.46,2.08,Away,2.08
Liverpool,Manchester Utd,1.35,5.54,8.27,Draw,5.54
Fulham,Ipswich,1.55,4.26,6.09,Draw,4.26
Brighton,Arsenal,4.74,3.66,1.78,Draw,3.66
Aston Villa,Leicester,1.34,5.54,8.44,Home,1.34
Bournemouth,Everton,1.7,3.87,4.99,Home,1.7
Crystal Palace,Chelsea,3.64,3.91,1.95,Draw,3.91
Manchester City,West Ham,1.26,6.87,9.81,Home,1.26
Southampton,Brentford,3.2,3.59,2.23,Away,2.23
Tottenham,Newcastle,3.63,4.38,1.91,Away,1.91
Brentford,Arsenal,5.74,4.47,1.55,Away,1.55
Manchester Utd,Newcastle,2.72,3.6,2.52,Away,2.52
Aston Villa,Brighton,1.88,3.8,4.01,Draw,3.8
Ipswich,Chelsea,7.15,5.13,1.4,Home,7.15
West Ham,Liverpool,7.39,5.38,1.39,Away,1.39
Crystal Palace,Southampton,1.55,4.34,6.03,Home,1.55
Everton,Nottingham,2.66,3.06,2.93,Away,2.93
Fulham,Bournemouth,2.29,3.46,3.16,Draw,3.46
Tottenham,Wolves,1.65,4.59,4.51,Draw,4.59
Leicester,Manchester City,9.27,6.16,1.29,Away,1.29
Arsenal,Ipswich,1.14,8.89,19.53,Home,1.14
Brighton,Brentford,1.62,4.46,4.93,Draw,4.46
Liverpool,Leicester,1.08,12.45,25.4,Home,1.08
Wolves,Manchester Utd,4.33,3.86,1.81,Home,4.33
Bournemouth,Crystal Palace,2.1,3.61,3.44,Draw,3.61
Chelsea,Fulham,1.46,4.92,6.35,Away,6.35
Newcastle,Aston Villa,1.94,3.79,3.84,Home,1.94
Nottingham,Tottenham,2.12,3.89,3.14,Home,2.12
Southampton,West Ham,3.08,3.54,2.27,Away,2.27
Manchester City,Everton,1.35,5.47,8.6,Draw,5.47
Tottenham,Liverpool,4.79,4.55,1.63,Away,1.63
Everton,Chelsea,4.84,4.07,1.68,Draw,4.07
Fulham,Southampton,1.61,4.2,5.61,Draw,4.2
Leicester,Wolves,2.96,3.44,2.4,Away,2.4
Manchester Utd,Bournemouth,1.85,3.76,4.23,Away,4.23
Crystal Palace,Arsenal,7.19,4.46,1.47,Away,1.47
Brentford,Nottingham,2.49,3.6,2.75,Away,2.75
Ipswich,Newcastle,4.61,4.09,1.72,Away,1.72
West Ham,Brighton,2.79,3.64,2.46,Draw,3.64
Aston Villa,Manchester City,3.18,3.66,2.2,Home,3.18
Bournemouth,West Ham,1.74,4.17,4.36,Draw,4.17
Chelsea,Brentford,1.34,5.97,7.77,Home,1.34
Southampton,Tottenham,3.97,4.42,1.76,Away,1.76
Manchester City,Manchester Utd,1.52,4.87,5.62,Away,5.62
Brighton,Crystal Palace,1.9,3.69,4.03,Away,4.03
Nottingham,Aston Villa,2.69,3.21,2.77,Home,2.69
Arsenal,Everton,1.24,6.29,12.58,Draw,6.29
Liverpool,Fulham,1.28,6.09,9.42,Draw,6.09
Newcastle,Leicester,1.28,6.22,9.42,Home,1.28
Wolves,Ipswich,1.96,3.63,3.8,Away,3.8
West Ham,Wolves,1.82,3.88,4.22,Home,1.82
Tottenham,Chelsea,2.86,3.98,2.25,Away,2.25
Fulham,Arsenal,5.38,4.18,1.62,Draw,4.18
Ipswich,Bournemouth,3.79,3.82,1.92,Away,1.92
Leicester,Brighton,4.96,4.19,1.66,Draw,4.19
Manchester Utd,Nottingham,1.69,3.91,5.09,Away,5.09
Aston Villa,Southampton,1.31,5.66,9.1,Home,1.31
Brentford,Newcastle,2.93,3.67,2.33,Home,2.93
Crystal Palace,Manchester City,4.63,3.95,1.74,Draw,3.95
Bournemouth,Tottenham,2.18,3.93,3.02,Home,2.18
Fulham,Brighton,2.6,3.57,2.64,Home,2.6
Arsenal,Manchester Utd,1.45,4.82,6.66,Home,1.45
Aston Villa,Brentford,1.68,4.09,4.93,Home,1.68
Everton,Wolves,2.1,3.34,3.71,Home,2.1
Manchester City,Nottingham,1.32,5.66,9.32,Home,1.32
Newcastle,Liverpool,3.59,3.73,2.0,Draw,3.73
Southampton,Chelsea,8.74,5.73,1.31,Away,1.31
Leicester,West Ham,2.98,3.44,2.38,Home,2.98
Ipswich,Crystal Palace,3.25,3.34,2.27,Away,2.27
Liverpool,Manchester City,2.04,3.73,3.5,Home,2.04
Chelsea,Aston Villa,1.72,3.99,4.58,Home,1.72
Manchester Utd,Everton,1.6,4.04,5.74,Home,1.6
Tottenham,Fulham,1.95,4.03,3.52,Draw,4.03
West Ham,Arsenal,7.12,4.76,1.44,Away,1.44
Brentford,Leicester,1.61,4.3,5.25,Home,1.61
Crystal Palace,Newcastle,3.2,3.48,2.24,Draw,3.48
Nottingham,Ipswich,1.71,3.92,4.86,Home,1.71
