Home,Draw,Away,Result
2.59,3.39,2.83,2
4.44,4.14,1.77,2
1.29,6.62,9.18,1
1.76,3.95,4.67,1
1.13,10.43,19.93,1
1.28,6.13,10.98,1
2.63,3.77,2.57,2
1.83,3.81,4.44,2
1.71,4.13,4.86,1
1.28,6.32,10.65,3
1.9,3.76,4.13,1
2.19,3.77,3.22,3
1.84,3.83,4.41,1
2.87,3.81,2.32,1
4.04,4.4,1.79,3
2.82,3.57,2.5,2
2.3,3.71,3.03,2
3.14,3.57,2.3,1
5.36,4.53,1.6,2
2.15,3.51,3.52,1
3.16,4.08,2.12,2
2.23,3.47,3.32,3
1.2,7.56,13.12,1
2.41,3.63,2.87,1
2.53,3.48,2.76,1
4.54,4.39,1.69,2
1.13,9.49,17.48,1
1.73,4.27,4.37,1
2.11,3.63,3.45,2
1.38,5.23,8.04,1
2.4,3.63,2.82,3
2.32,3.83,2.88,1
2.86,3.41,2.52,3
2.17,3.79,3.09,2
2.94,3.79,2.3,2
2.62,3.52,2.68,2
1.26,6.75,10.42,1
2.18,3.39,3.51,1
1.6,4.64,5.1,3
3.52,3.61,2.09,2
2.16,3.4,3.49,3
9.99,6.83,1.26,2
2.22,3.64,3.2,3
1.23,6.86,12.19,1
2.56,3.85,2.57,1
2.26,3.65,3.09,1
2.66,3.5,2.58,1
1.25,6.69,9.79,3
1.10,11.96,21.35,1
2.62,3.4,2.74,3
4.32,4.06,1.79,2
2.16,3.62,3.35,2
5.71,4.72,1.54,3
4.02,3.41,2.01,2
1.74,4.04,4.58,1
3.09,3.75,2.19,2
1.58,4.44,5.36,1
1.49,4.71,6.25,1
2.16,3.34,3.58,1
1.47,4.97,6.22,1
2.84,3.69,2.4,3
2.51,3.58,2.75,1
2.26,3.69,3.09,2
1.78,4.01,4.19,1
1.66,4.28,4.94,1
8.54,6.11,1.31,2
2.45,2.7,3.83,1
1.96,3.43,4.10,1
1.78,3.42,5.38,2
3.46,3.67,2.11,2
1.95,3.53,4.1,2
2.73,2.98,2.97,1
2.17,3.36,3.58,3
4.66,3.86,1.77,2
4.53,3.3,1.94,3
2.86,3.1,2.72,2
3.5,3.06,2.33,1
3.91,3.47,2.02,3
1.23,5.98,13.03,1
1.99,3.17,4.51,1
2.95,2.98,2.72,2
7.01,5.2,1.41,2
1.73,3.44,5.7,3
1.63,3.86,6.14,1
2.82,3.2,2.64,2
1.32,5.46,9.13,1
2.26,2.91,3.76,1
6.94,4.03,1.54,3
1.74,3.98,4.65,2
2.10,3.2,3.93,2
3.34,3.46,2.23,2
2.59,2.9,3.23,3
1.79,3.64,4.86,3
1.93,3.38,4.41,2
2.63,3.19,2.87,2
2.94,3.14,2.66,1
1.34,5.32,10.15,1
2.11,3.32,3.85,1
2.53,3.03,3.23,2
1.96,3.76,3.88,3
2.28,3.11,3.63,1
3.96,4.07,1.86,2
2.02,3.22,4.26,3
1.37,5.54,8.12,1
4.11,3.47,1.98,2
1.6,3.83,6.49,3
2.81,3.46,2.57,3
2.65,3.09,2.99,3
2.53,3.05,3.24,2
1.55,4.03,7.2,3
1.18,7.84,16.13,1
2.16,3.69,3.34,2
7.09,4.5,1.49,3
1.7,4,5.11,1
2.85,3.34,2.59,1
1.81,3.57,4.86,3
1.96,3.66,3.9,1
2.56,3.46,2.79,3
1.68,3.43,6.52,1
2.79,3.37,2.56,3
1.25,6.33,11.23,1
2.36,3.25,3.28,3
1.91,3.36,4.63,1
4.44,3.1,2.04,2
2.89,3.48,2.4,2
1.73,3.8,5.1,1
1.6,4.06,5.94,1
1.5,4.9,5.83,1
2.62,2.85,3.25,1
1.31,5.85,9.18,1
2.06,3.09,4.3,2
3.52,3.23,2.21,1
1.58,3.92,6.49,1
2.03,3.21,4.23,1
6.54,4.54,1.5,2
3.13,2.98,2.58,3
1.7,3.89,5.14,1
2.04,3.37,3.94,1
3.24,2.92,2.58,1
1.36,4.94,9.63,1
1.44,4.53,7.74,1
2.89,3.33,2.54,2
3.3,3.53,2.21,1
3.94,3.36,2.05,2

